Urn,State,Seq
urn:cite:phoros:seqcommon.368,urn:cite:phoros:places.42,368
urn:cite:phoros:seqcommon.369,urn:cite:phoros:places.14,369
urn:cite:phoros:seqcommon.370,urn:cite:phoros:places.13,370
urn:cite:phoros:seqcommon.371,urn:cite:phoros:places.158,371
urn:cite:phoros:seqcommon.372,urn:cite:phoros:places.101,372
urn:cite:phoros:seqcommon.373,urn:cite:phoros:places.195,373
urn:cite:phoros:seqcommon.374,urn:cite:phoros:places.121,374
urn:cite:phoros:seqcommon.375,urn:cite:phoros:places.75,375
urn:cite:phoros:seqcommon.376,urn:cite:phoros:places.139,376
urn:cite:phoros:seqcommon.377,urn:cite:phoros:places.215,377
urn:cite:phoros:seqcommon.378,urn:cite:phoros:places.30,378
urn:cite:phoros:seqcommon.379,urn:cite:phoros:places.37,379
urn:cite:phoros:seqcommon.380,urn:cite:phoros:places.116,380
urn:cite:phoros:seqcommon.381,urn:cite:phoros:places.123,381
urn:cite:phoros:seqcommon.382,urn:cite:phoros:places.158,382
urn:cite:phoros:seqcommon.383,urn:cite:phoros:places.23,383
urn:cite:phoros:seqcommon.384,urn:cite:phoros:places.5,384
urn:cite:phoros:seqcommon.385,urn:cite:phoros:places.6,385
urn:cite:phoros:seqcommon.386,urn:cite:phoros:places.159,386
urn:cite:phoros:seqcommon.387,urn:cite:phoros:places.160,387
urn:cite:phoros:seqcommon.388,urn:cite:phoros:places.53,388
urn:cite:phoros:seqcommon.389,urn:cite:phoros:places.54,389
urn:cite:phoros:seqcommon.390,urn:cite:phoros:places.39,390
urn:cite:phoros:seqcommon.391,urn:cite:phoros:places.161,391
urn:cite:phoros:seqcommon.392,urn:cite:phoros:places.86,392
urn:cite:phoros:seqcommon.393,urn:cite:phoros:places.44,393
urn:cite:phoros:seqcommon.394,urn:cite:phoros:places.27,394
urn:cite:phoros:seqcommon.395,urn:cite:phoros:places.174,395
urn:cite:phoros:seqcommon.396,urn:cite:phoros:places.109,396
urn:cite:phoros:seqcommon.397,urn:cite:phoros:places.151,397
urn:cite:phoros:seqcommon.398,urn:cite:phoros:places.41,398
urn:cite:phoros:seqcommon.399,urn:cite:phoros:places.152,399
urn:cite:phoros:seqcommon.400,urn:cite:phoros:places.96,400
urn:cite:phoros:seqcommon.401,urn:cite:phoros:places.96,401
urn:cite:phoros:seqcommon.402,urn:cite:phoros:places.7,402
urn:cite:phoros:seqcommon.403,urn:cite:phoros:places.98,403
urn:cite:phoros:seqcommon.404,urn:cite:phoros:places.176,404
urn:cite:phoros:seqcommon.405,urn:cite:phoros:places.217,405
urn:cite:phoros:seqcommon.406,urn:cite:phoros:places.111,406
