Payment,TextPassage,TextContent,Sequence,Year,Place,Obols,ChangeStatus,ChangeAmount
urn:cite:phoros:payrec.150,urn:cts:phoros:stele1.year2:right.10.8,ΠΡΙΑΝΕΣ,150,2,urn:cite:phoros:places.101,600,same,0
urn:cite:phoros:payrec.151,urn:cts:phoros:stele1.year2:right.10.9,ΚΙΝΔΥΕΣ,151,2,urn:cite:phoros:places.102,600,same,0
urn:cite:phoros:payrec.152,urn:cts:phoros:stele1.year2:right.10.10,ΒΑΡΓΥΛΙΕΣ,152,2,urn:cite:phoros:places.103,100,same,0
urn:cite:phoros:payrec.153,urn:cts:phoros:stele1.year2:right.10.11,ΔΙΔΥΜΟΤΕΙΔΙΔΥΜΟΤΕΙΧΙΤΑΙ,153,2,urn:cite:phoros:places.42,100,same,0
urn:cite:phoros:payrec.154,urn:cts:phoros:stele1.year3:front.1.2,ΑΦΥΤΑΙΟΙ,154,3,urn:cite:phoros:places.105,1800,same,0
urn:cite:phoros:payrec.155,urn:cts:phoros:stele1.year3:front.1.3,ΛΕΜΝΙΟΙ,155,3,urn:cite:phoros:places.106,5400,same,0
urn:cite:phoros:payrec.156,urn:cts:phoros:stele1.year3:front.1.4,ΚΕΡΑΜΙΟΙ,156,3,urn:cite:phoros:places.65,900,same,0
urn:cite:phoros:payrec.157,urn:cts:phoros:stele1.year3:front.1.5,ΜΥΔΟΝΕΣ,157,3,urn:cite:phoros:places.71,150,same,0
urn:cite:phoros:payrec.158,urn:cts:phoros:stele1.year3:front.1.6,ΤΕΝΕΔΙΟΙ,158,3,urn:cite:phoros:places.107,2700,same,0
urn:cite:phoros:payrec.159,urn:cts:phoros:stele1.year3:front.1.7,ΠΑΛΕΦΣΙΟΙ,159,3,urn:cite:phoros:places.40,900,same,0
urn:cite:phoros:payrec.160,urn:cts:phoros:stele1.year3:front.1.8,ΠΕΝΤΙΝΙΟΙ,160,3,urn:cite:phoros:places.108,50,same,0
urn:cite:phoros:payrec.161,urn:cts:phoros:stele1.year3:front.1.9,ΦΑΣΕΛΙΤΑΙ,161,3,urn:cite:phoros:places.47,3600,same,0
urn:cite:phoros:payrec.162,urn:cts:phoros:stele1.year3:front.1.10,ΚΑΛΥΔΝΙΟΙ,162,3,urn:cite:phoros:places.109,900,same,0
urn:cite:phoros:payrec.163,urn:cts:phoros:stele1.year3:front.1.11,ΚΛΑΖΟΜΕΝΙΟΙ,163,3,urn:cite:phoros:places.44,900,same,0
urn:cite:phoros:payrec.164,urn:cts:phoros:stele1.year3:front.1.12,ΚΕΔΡΙΕΤΑΙ,164,3,urn:cite:phoros:places.64,300,same,0
urn:cite:phoros:payrec.165,urn:cts:phoros:stele1.year3:front.1.13,ΙΑΤΑΙ,165,3,urn:cite:phoros:places.77,600,same,0
urn:cite:phoros:payrec.166,urn:cts:phoros:stele1.year3:front.1.14,ΑΡΤΑΚΕΝΟΙ,166,3,urn:cite:phoros:places.73,200,same,0
urn:cite:phoros:payrec.167,urn:cts:phoros:stele1.year3:front.1.15,ΔΙΚΑΙΑ,167,3,urn:cite:phoros:places.51,300,same,0
urn:cite:phoros:payrec.168,urn:cts:phoros:stele1.year3:front.1.16,ΠΑΡΑΒΔΕΡΑ,168,3,urn:cite:phoros:places.51,,,
urn:cite:phoros:payrec.169,urn:cts:phoros:stele1.year3:front.1.17,ΑΣΤΥΠΑΛΑΙΕΣ,169,3,urn:cite:phoros:places.92,1200,same,0
urn:cite:phoros:payrec.172,urn:cts:phoros:stele1.year3:front.1.31,ΚΑΡΥΑΝΔΕΣ,172,3,urn:cite:phoros:places.111,100,same,0
urn:cite:phoros:payrec.173,urn:cts:phoros:stele1.year3:front.1.32,ΜΑΔΝΑΣΕΣ>,173,3,urn:cite:phoros:places.7,1200,same,0
urn:cite:phoros:payrec.174,urn:cts:phoros:stele1.year3:front.2.5,ΜΕΝΔΑΙΟΙ,174,3,urn:cite:phoros:places.112,4800,same,0
