Payment,TextPassage
urn:cite:phoros:payrec.318,urn:cts:phoros:stele1.year:front.2.3
urn:cite:phoros:payrec.319,urn:cts:phoros:stele1.year:front.2.4
urn:cite:phoros:payrec.320,urn:cts:phoros:stele1.year:front.2.5
urn:cite:phoros:payrec.321,urn:cts:phoros:stele1.year:front.2.6
urn:cite:phoros:payrec.322,urn:cts:phoros:stele1.year:front.2.7
urn:cite:phoros:payrec.323,urn:cts:phoros:stele1.year:front.2.8
urn:cite:phoros:payrec.324,urn:cts:phoros:stele1.year:front.2.9
urn:cite:phoros:payrec.325,urn:cts:phoros:stele1.year:front.2.10
urn:cite:phoros:payrec.326,urn:cts:phoros:stele1.year:front.2.11
urn:cite:phoros:payrec.327,urn:cts:phoros:stele1.year:front.2.12
urn:cite:phoros:payrec.328,urn:cts:phoros:stele1.year:front.2.13
urn:cite:phoros:payrec.329,urn:cts:phoros:stele1.year:front.2.14
urn:cite:phoros:payrec.330,urn:cts:phoros:stele1.year:front.2.15
urn:cite:phoros:payrec.331,urn:cts:phoros:stele1.year:front.2.16
urn:cite:phoros:payrec.332,urn:cts:phoros:stele1.year:front.2.26
urn:cite:phoros:payrec.333,urn:cts:phoros:stele1.year:front.2.27
urn:cite:phoros:payrec.334,urn:cts:phoros:stele1.year:front.2.28
urn:cite:phoros:payrec.335,urn:cts:phoros:stele1.year:front.2.29
urn:cite:phoros:payrec.336,urn:cts:phoros:stele1.year:front.2.30
urn:cite:phoros:payrec.337,urn:cts:phoros:stele1.year:front.2.31
urn:cite:phoros:payrec.338,urn:cts:phoros:stele1.year:front.2.32
urn:cite:phoros:payrec.339,urn:cts:phoros:stele1.year:front.2.33
urn:cite:phoros:payrec.340,urn:cts:phoros:stele1.year:front.3.21
urn:cite:phoros:payrec.341,urn:cts:phoros:stele1.year:front.3.22
urn:cite:phoros:payrec.342,urn:cts:phoros:stele1.year:front.3.23
urn:cite:phoros:payrec.343,urn:cts:phoros:stele1.year:front.3.24
urn:cite:phoros:payrec.344,urn:cts:phoros:stele1.year:front.3.25
urn:cite:phoros:payrec.345,urn:cts:phoros:stele1.year:front.3.26
urn:cite:phoros:payrec.346,urn:cts:phoros:stele1.year:front.3.27
urn:cite:phoros:payrec.347,urn:cts:phoros:stele1.year:front.3.28
urn:cite:phoros:payrec.348,urn:cts:phoros:stele1.year:front.3.29
urn:cite:phoros:payrec.349,urn:cts:phoros:stele1.year:front.3.30
urn:cite:phoros:payrec.350,urn:cts:phoros:stele1.year:front.4.2
urn:cite:phoros:payrec.351,urn:cts:phoros:stele1.year:front.4.3
urn:cite:phoros:payrec.352,urn:cts:phoros:stele1.year:front.4.4
urn:cite:phoros:payrec.353,urn:cts:phoros:stele1.year:front.4.5
urn:cite:phoros:payrec.354,urn:cts:phoros:stele1.year:front.4.6
urn:cite:phoros:payrec.355,urn:cts:phoros:stele1.year:front.4.7
urn:cite:phoros:payrec.356,urn:cts:phoros:stele1.year:front.4.8
urn:cite:phoros:payrec.357,urn:cts:phoros:stele1.year:front.4.9
urn:cite:phoros:payrec.358,urn:cts:phoros:stele1.year:front.4.10
urn:cite:phoros:payrec.359,urn:cts:phoros:stele1.year:front.4.11
urn:cite:phoros:payrec.360,urn:cts:phoros:stele1.year:front.4.12
urn:cite:phoros:payrec.361,urn:cts:phoros:stele1.year:front.4.13
urn:cite:phoros:payrec.362,urn:cts:phoros:stele1.year:front.4.14
urn:cite:phoros:payrec.363,urn:cts:phoros:stele1.year:front.4.15
urn:cite:phoros:payrec.364,urn:cts:phoros:stele1.year:front.4.16
urn:cite:phoros:payrec.365,urn:cts:phoros:stele1.year:front.4.17
urn:cite:phoros:payrec.366,urn:cts:phoros:stele1.year:front.4.18
urn:cite:phoros:payrec.367,urn:cts:phoros:stele1.year:front.4.19
