StoneURN,ImgURN
urn:cite:phoros:stones.atl24,"urn:cite:shotimg:atl.ATL001@0.7257,0.3674,0.0511,0.031"
urn:cite:phoros:stones.atl46,"urn:cite:shotimg:atl.ATL001@0.5536,0.604,0.1011,0.0747"
urn:cite:phoros:stones.atl51,"urn:cite:shotimg:atl.ATL001@0.6527,0.6804,0.0511,0.0789"
urn:cite:phoros:stones.atl63,"urn:cite:shotimg:atl.ATL001@0.5045,0.8423,0.028,0.0378"
urn:cite:phoros:stones.atl66,"urn:cite:shotimg:atl.ATL001@0.6156,0.8087,0.042,0.0419"
urn:cite:phoros:stones.atl73,"urn:cite:shotimg:atl.ATL001@0.7798,0.7164,0.032,0.0252"
urn:cite:phoros:stones.atl69,"urn:cite:shotimg:atl.ATL001@0.6797,0.8154,0.0751,0.0596"
urn:cite:phoros:stones.atl87,"urn:cite:shotimg:atl.ATL001@0.9109,0.6745,0.0741,0.1032"
urn:cite:phoros:stones.atl44,"urn:cite:shotimg:atl.ATL001@0.7247,0.6065,0.035,0.026"
urn:cite:phoros:stones.atl89,"urn:cite:shotimg:atl.ATL001@0.006,0.8121,0.0951,0.1711"
urn:cite:phoros:stones.atl134,"urn:cite:shotimg:atl.ATL001@0.1091,0.6367,0.0851,0.0411"
urn:cite:phoros:stones.atl141,"urn:cite:shotimg:atl.ATL001@0.3564,0.6779,0.038,0.0352"
urn:cite:phoros:stones.atl14,"urn:cite:shotimg:atl.ATL001@0.7097,0.2248,0.1011,0.0755"
urn:cite:phoros:stones.atl18,"urn:cite:shotimg:atl.ATL001@0.7988,0.2978,0.0771,0.0478"
urn:cite:phoros:stones.atl81,"urn:cite:shotimg:atl.ATL001@0.8959,0.3985,0.0581,0.0755"
urn:cite:phoros:stones.atl55,"urn:cite:shotimg:atl.ATL001@0.7518,0.6636,0.0721,0.0562"
urn:cite:phoros:stones.atl84,"urn:cite:shotimg:atl.ATL001@0.8859,0.6074,0.0631,0.0529"
urn:cite:phoros:stones.atl61,"urn:cite:shotimg:atl.ATL001@0.5065,0.7466,0.028,0.0638"
urn:cite:phoros:stones.atl67,"urn:cite:shotimg:atl.ATL001@0.6557,0.75,0.0641,0.0453"
urn:cite:phoros:stones.atl74,"urn:cite:shotimg:atl.ATL001@0.8028,0.7097,0.039,0.0327"
urn:cite:phoros:stones.atl71,"urn:cite:shotimg:atl.ATL001@0.7397,0.7995,0.044,0.0243"
urn:cite:phoros:stones.atl88,"urn:cite:shotimg:atl.ATL001@0.958,0.7206,0.027,0.0579"
urn:cite:phoros:stones.atl89,"urn:cite:shotimg:atl.ATL001@0.9189,0.8431,0.0631,0.1393"
urn:cite:phoros:stones.atl146,"urn:cite:shotimg:atl.ATL001@0.038,0.7273,0.0641,0.0856"
urn:cite:phoros:stones.atlb8,"urn:cite:shotimg:atl.ATLpl16@0.1512,0.3077,0.029,0.0547"
urn:cite:phoros:stones.atlb6,"urn:cite:shotimg:atl.ATLpl16@0.2242,0.2101,0.4575,0.2367"
urn:cite:phoros:stones.atlb5,"urn:cite:shotimg:atl.ATLpl16@0.957,0.2574,0.032,0.0725"
urn:cite:phoros:stones.atlb32,"urn:cite:shotimg:atl.ATLpl16@0.8088,0.4231,0.018,0.0651"
urn:cite:phoros:stones.atlb35,"urn:cite:shotimg:atl.ATLpl16@0.8969,0.4024,0.014,0.0281"
urn:cite:phoros:stones.atlb37,"urn:cite:shotimg:atl.ATLpl16@0.8388,0.4497,0.02,0.0414"
urn:cite:phoros:stones.atlb45,"urn:cite:shotimg:atl.ATLpl16@0.8268,0.4438,0.0771,0.0976"
urn:cite:phoros:stones.atlb42,"urn:cite:shotimg:atl.ATLpl16@0.7818,0.4852,0.028,0.0651"
urn:cite:phoros:stones.atlb49,"urn:cite:shotimg:atl.ATLpl16@0.7257,0.5266,0.0621,0.1716"
urn:cite:phoros:stones.atlb50,"urn:cite:shotimg:atl.ATLpl16@0.7778,0.5473,0.045,0.0725"
urn:cite:phoros:stones.atlb52,"urn:cite:shotimg:atl.ATLpl16@0.8589,0.5207,0.0501,0.074"
urn:cite:phoros:stones.atlb46,"urn:cite:shotimg:atl.ATLpl16@0.8529,0.4926,0.023,0.0666"
urn:cite:phoros:stones.atl4,"urn:cite:shotimg:atl.DSC_5231@0.6987,0.2825,0.2993,0.2571"
urn:cite:phoros:stones.atl11,"urn:cite:shotimg:atl.ATL001@0.9079,0.0772,0.0811,0.12"
urn:cite:phoros:stones.atl78,"urn:cite:shotimg:atl.ATL001@0.8699,0.3029,0.025,0.0277"
urn:cite:phoros:stones.atl10,"urn:cite:shotimg:atl.ATL001@0.7548,0.1485,0.1592,0.1653"
urn:cite:phoros:stones.atl79,"urn:cite:shotimg:atl.ATL001@0.8919,0.2903,0.0891,0.1057"
urn:cite:phoros:stones.atl39,"urn:cite:shotimg:atl.ATL001@0.7978,0.4027,0.0511,0.0503"
urn:cite:phoros:stones.atl43,"urn:cite:shotimg:atl.ATL001@0.6316,0.5201,0.1471,0.1107"
urn:cite:phoros:stones.atl49,"urn:cite:shotimg:atl.ATL001@0.5816,0.672,0.045,0.0713"
urn:cite:phoros:stones.atl48,"urn:cite:shotimg:atl.ATL001@0.7327,0.6267,0.0511,0.031"
urn:cite:phoros:stones.147,"urn:cite:shotimg:atl.ATL001@0.014,0.7517,0.0611,0.0336"
urn:cite:phoros:stones.atl176,"urn:cite:shotimg:atl.ATL001@0.4294,0.5671,0.046,0.0268"
urn:cite:phoros:stones.atl53,"urn:cite:shotimg:atl.ATL001@0.6827,0.6544,0.0751,0.0772"
urn:cite:phoros:stones.atl45,"urn:cite:shotimg:atl.ATL001@0.7598,0.5361,0.1461,0.1015"
urn:cite:phoros:stones.atl157,"urn:cite:shotimg:atl.ATL001@0.3263,0.8784,0.0691,0.0906"
urn:cite:phoros:stones.atl143,"urn:cite:shotimg:atl.ATL001@0.0981,0.6787,0.0641,0.0856"
urn:cite:phoros:stones.atl145,"urn:cite:shotimg:atl.ATL001@0.038,0.7273,0.0641,0.0856"
