"site","name","year","obols","txt","change","sequence","payrecord"
"urn:cite:phoros:places.8","Therma in Ikaros","7","300","urn:cts:phoros:stele1.year7.hc1:front.1.26","same","26","urn:cite:phoros:payrec.505"
"urn:cite:phoros:places.34","Oine in Ikaros","7","600","urn:cts:phoros:stele1.year7.hc1:front.1.27","same","27","urn:cite:phoros:payrec.506"
"urn:cite:phoros:places.175","Chalke","7","300","urn:cts:phoros:stele1.year7.hc1:front.1.28","same","28","urn:cite:phoros:payrec.507"
"urn:cite:phoros:places.174","Lebedos","7","1800","urn:cts:phoros:stele1.year7.hc1:front.1.30","same","30","urn:cite:phoros:payrec.509"
"urn:cite:phoros:places.182","Aineia","7","1800","urn:cts:phoros:stele1.year7.hc1:front.1.31","same","31","urn:cite:phoros:payrec.510"
"urn:cite:phoros:places.162","Aison","7","150","urn:cts:phoros:stele1.year7.hc1:front.1.33","same","32","urn:cite:phoros:payrec.511"
"urn:cite:phoros:places.43","Dikaiopolis","7","600","urn:cts:phoros:stele1.year7.hc1:front.1.34","same","33","urn:cite:phoros:payrec.512"
"urn:cite:phoros:places.5","Ainos","7","7200","urn:cts:phoros:stele1.year7.hc1:front.1.36","same","35","urn:cite:phoros:payrec.514"
"urn:cite:phoros:places.110","Kaunos","7","300","urn:cts:phoros:stele1.year7.hc1:front.1.36","same","35","urn:cite:phoros:payrec.515"
"urn:cite:phoros:places.5","Ainos","7","7200","urn:cts:phoros:stele1.year7.hc1:front.1.36","same","36","urn:cite:phoros:payrec.514"
"urn:cite:phoros:places.110","Kaunos","7","300","urn:cts:phoros:stele1.year7.hc1:front.1.36","same","36","urn:cite:phoros:payrec.515"
"urn:cite:phoros:places.6","Naxia","7","50","urn:cts:phoros:stele1.year7.hc1:front.1.37","down","37","urn:cite:phoros:payrec.516"
"urn:cite:phoros:places.163","Thasthara","7","50","urn:cts:phoros:stele1.year7.hc1:front.2.2","same","38","urn:cite:phoros:payrec.517"
"urn:cite:phoros:places.71","Mydon","7","150","urn:cts:phoros:stele1.year7.hc1:front.2.3","same","39","urn:cite:phoros:payrec.518"
"urn:cite:phoros:places.173","Telandros","7","300","urn:cts:phoros:stele1.year7.hc1:front.2.4","down","40","urn:cite:phoros:payrec.519"
"urn:cite:phoros:places.46","Karbasyanda","7","100","urn:cts:phoros:stele1.year7.hc1:front.2.5","same","41","urn:cite:phoros:payrec.520"
"urn:cite:phoros:places.76","Auliataι Kares","7","50","urn:cts:phoros:stele1.year7.hc1:front.2.6","same","42","urn:cite:phoros:payrec.521"
"urn:cite:phoros:places.21","Krya","7","200","urn:cts:phoros:stele1.year7.hc1:front.2.7","same","43","urn:cite:phoros:payrec.522"
"urn:cite:phoros:places.2","Pharbelos","7","100","urn:cts:phoros:stele1.year7.hc1:front.2.8","same","44","urn:cite:phoros:payrec.523"
"urn:cite:phoros:places.96","Myndos","7","50","urn:cts:phoros:stele1.year7.hc1:front.2.9","same","45","urn:cite:phoros:payrec.524"
"urn:cite:phoros:places.33","Lindos","7","6000","urn:cts:phoros:stele1.year7.hc1:front.2.10","up","46","urn:cite:phoros:payrec.525"
"urn:cite:phoros:places.205","Pedies in Lindos","7","200","urn:cts:phoros:stele1.year7.hc1:front.2.11","same","47","urn:cite:phoros:payrec.526"
"urn:cite:phoros:places.12","Thyssos","7","900","urn:cts:phoros:stele1.year7.hc1:front.2.12","same","48","urn:cite:phoros:payrec.527"
"urn:cite:phoros:places.14","Sane","7","200","urn:cts:phoros:stele1.year7.hc1:front.2.13","down","49","urn:cite:phoros:payrec.528"
"urn:cite:phoros:places.135","Syros","7","100","urn:cts:phoros:stele1.year7.hc1:front.2.16","down","50","urn:cite:phoros:payrec.529"
"urn:cite:phoros:places.206","Othoros","7","100","urn:cts:phoros:stele1.year7.hc1:front.2.17","same","51","urn:cite:phoros:payrec.530"
"urn:cite:phoros:places.49","Kebrene","7","1800","urn:cts:phoros:stele1.year7.hc1:front.2.18","up","52","urn:cite:phoros:payrec.531"
"urn:cite:phoros:places.90","Kodapa","7","100","urn:cts:phoros:stele1.year7.hc1:front.2.20","same","53","urn:cite:phoros:payrec.532"
"urn:cite:phoros:places.168","Kudaies/Hudaies","7","40","urn:cts:phoros:stele1.year7.hc1:front.2.21","same","54","urn:cite:phoros:payrec.533"
"urn:cite:phoros:places.25","Diosera","7","100","urn:cts:phoros:stele1.year7.hc1:front.2.22","same","55","urn:cite:phoros:payrec.534"
"urn:cite:phoros:places.167","Chalketor","7","210","urn:cts:phoros:stele1.year7.hc1:front.2.23","same","56","urn:cite:phoros:payrec.535"
"urn:cite:phoros:places.15","Olophyxos","7","150","urn:cts:phoros:stele1.year7.hc1:front.2.24","down","57","urn:cite:phoros:payrec.536"
"urn:cite:phoros:places.44","Klazomenia","7","900","urn:cts:phoros:stele1.year7.hc1:front.2.25","same","58","urn:cite:phoros:payrec.537"
"urn:cite:phoros:places.52","Abdera","7","8400","urn:cts:phoros:stele1.year7.hc1:front.2.26","down","59","urn:cite:phoros:payrec.538"
"urn:cite:phoros:places.109","Kalymna","7","900","urn:cts:phoros:stele1.year7.hc1:front.2.27","same","60","urn:cite:phoros:payrec.539"
"urn:cite:phoros:places.24","Notion","7","200","urn:cts:phoros:stele1.year7.hc1:front.2.28","same","61","urn:cite:phoros:payrec.540"
"urn:cite:phoros:places.118","Gargara","7","450","urn:cts:phoros:stele1.year7.hc1:front.2.29","same","62","urn:cite:phoros:payrec.541"
"urn:cite:phoros:places.47","Phaselis","7","1800","urn:cts:phoros:stele1.year7.hc1:front.2.30","same","63","urn:cite:phoros:payrec.542"
"urn:cite:phoros:places.16","Dion","7","600","urn:cts:phoros:stele1.year7.hc1:front.2.31","up","64","urn:cite:phoros:payrec.543"
"urn:cite:phoros:places.125","Knidos","7","3000","urn:cts:phoros:stele1.year7.hc1:front.2.32","same","65","urn:cite:phoros:payrec.544"
"urn:cite:phoros:places.26","Spartolos","7","1200","urn:cts:phoros:stele1.year7.hc1:front.2.33","same","66","urn:cite:phoros:payrec.545"
"urn:cite:phoros:places.39","Strepsa","7","600","urn:cts:phoros:stele1.year7.hc1:front.2.34","same","67","urn:cite:phoros:payrec.546"
"urn:cite:phoros:places.64","Kedriai","7","50","urn:cts:phoros:stele1.year7.hc1:front.2.35","down","68","urn:cite:phoros:payrec.547"
"urn:cite:phoros:places.128","Ialysos","7","6000","urn:cts:phoros:stele1.year7.hc1:front.2.36","same","69","urn:cite:phoros:payrec.548"
"urn:cite:phoros:places.92","Astypalaia","7","1200","urn:cts:phoros:stele1.year7.hc1:front.2.37","same","70","urn:cite:phoros:payrec.549"
"urn:cite:phoros:places.58","Stolos","7","500","urn:cts:phoros:stele1.year7.hc1:front.2.38","same","71","urn:cite:phoros:payrec.550"
"urn:cite:phoros:places.95","Lampsakos","7","520","urn:cts:phoros:stele1.year7.hc1:front.3.2","down","72","urn:cite:phoros:payrec.589"
"urn:cite:phoros:places.207","Chedrolos","7","50","urn:cts:phoros:stele1.year7.hc1:front.3.2","same","72","urn:cite:phoros:payrec.551"
"urn:cite:phoros:places.148","Rheneia","7","30","urn:cts:phoros:stele1.year7.hc1:front.3.3","down","73","urn:cite:phoros:payrec.552"
"urn:cite:phoros:places.143","Aige","7","300","urn:cts:phoros:stele1.year7.hc1:front.3.3","same","73","urn:cite:phoros:payrec.590"
"urn:cite:phoros:places.127","Priapos","7","50","urn:cts:phoros:stele1.year7.hc1:front.3.4","same","74","urn:cite:phoros:payrec.553"
"urn:cite:phoros:places.190","Tenos","7","1800","urn:cts:phoros:stele1.year7.hc1:front.3.4","same","74","urn:cite:phoros:payrec.591"
"urn:cite:phoros:places.196","Hestiaia","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.5","same","75","urn:cite:phoros:payrec.554"
"urn:cite:phoros:places.152","Teos","7","3600","urn:cts:phoros:stele1.year7.hc1:front.3.5","same","75","urn:cite:phoros:payrec.592"
"urn:cite:phoros:places.145","Andros","7","3600","urn:cts:phoros:stele1.year7.hc1:front.3.6","down","76","urn:cite:phoros:payrec.593"
"urn:cite:phoros:places.153","Palaiperkote","7","50","urn:cts:phoros:stele1.year7.hc1:front.3.6","down","76","urn:cite:phoros:payrec.555"
"urn:cite:phoros:places.208","Galepsos","7","900","urn:cts:phoros:stele1.year7.hc1:front.3.7","same","77","urn:cite:phoros:payrec.556"
"urn:cite:phoros:places.114","Mykonos","7","900","urn:cts:phoros:stele1.year7.hc1:front.3.7","same","77","urn:cite:phoros:payrec.594"
"urn:cite:phoros:places.61","Thasos","7","1470","urn:cts:phoros:stele1.year7.hc1:front.3.8","down","78","urn:cite:phoros:payrec.595"
"urn:cite:phoros:places.138","Phokaia","7","1800","urn:cts:phoros:stele1.year7.hc1:front.3.8","same","78","urn:cite:phoros:payrec.557"
"urn:cite:phoros:places.160","Kos","7","2136","urn:cts:phoros:stele1.year7.hc1:front.3.9","same","79","urn:cite:phoros:payrec.558"
"urn:cite:phoros:places.103","Bargylia","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.10","same","80","urn:cite:phoros:payrec.559"
"urn:cite:phoros:places.214","Eretria","7","3600","urn:cts:phoros:stele1.year7.hc1:front.3.10","same","80","urn:cite:phoros:payrec.597"
"urn:cite:phoros:places.150","Grynche","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.11","same","81","urn:cite:phoros:payrec.598"
"urn:cite:phoros:places.93","Samothraki","7","3600","urn:cts:phoros:stele1.year7.hc1:front.3.11","same","81","urn:cite:phoros:payrec.560"
"urn:cite:phoros:places.55","Asseritis","7","2400","urn:cts:phoros:stele1.year7.hc1:front.3.12","same","82","urn:cite:phoros:payrec.561"
"urn:cite:phoros:places.191","Siphnos","7","1800","urn:cts:phoros:stele1.year7.hc1:front.3.12","same","82","urn:cite:phoros:payrec.599"
"urn:cite:phoros:places.42","Diduma Teichos","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.13","same","83","urn:cite:phoros:payrec.600"
"urn:cite:phoros:places.51","Dikaia by Abdera","7","300","urn:cts:phoros:stele1.year7.hc1:front.3.13","same","83","urn:cite:phoros:payrec.562"
"urn:cite:phoros:places.16","Dion","7","200","urn:cts:phoros:stele1.year7.hc1:front.3.14","down","84","urn:cite:phoros:payrec.563"
"urn:cite:phoros:places.77","Ios","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.14","down","84","urn:cite:phoros:payrec.601"
"urn:cite:phoros:places.13","Torone","7","4744","urn:cts:phoros:stele1.year7.hc1:front.3.15","down","85","urn:cite:phoros:payrec.602"
"urn:cite:phoros:places.209","Eurumaxos","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.15","same","85","urn:cite:phoros:payrec.564"
"urn:cite:phoros:places.158","Dardanos","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.16","down","86","urn:cite:phoros:payrec.603"
"urn:cite:phoros:places.210","Brykous","7","50","urn:cts:phoros:stele1.year7.hc1:front.3.16","same","86","urn:cite:phoros:payrec.565"
"urn:cite:phoros:places.72","Kios","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.17","same","87","urn:cite:phoros:payrec.566"
"urn:cite:phoros:places.101","Priene","7","600","urn:cts:phoros:stele1.year7.hc1:front.3.17","same","87","urn:cite:phoros:payrec.604"
"urn:cite:phoros:places.180","Arkaseia","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.18","same","88","urn:cite:phoros:payrec.567"
"urn:cite:phoros:places.195","Styra","7","600","urn:cts:phoros:stele1.year7.hc1:front.3.18","same","88","urn:cite:phoros:payrec.605"
"urn:cite:phoros:places.121","Athenai Diades","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.19","down","89","urn:cite:phoros:payrec.606"
"urn:cite:phoros:places.161","Humisses","7","120","urn:cts:phoros:stele1.year7.hc1:front.3.19","same","89","urn:cite:phoros:payrec.568"
"urn:cite:phoros:places.75","Berytis below Mt. Ida","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.20","same","90","urn:cite:phoros:payrec.607"
"urn:cite:phoros:places.211","Udissos","7","600","urn:cts:phoros:stele1.year7.hc1:front.3.20","same","90","urn:cite:phoros:payrec.569"
"urn:cite:phoros:places.27","Hairai","7","1800","urn:cts:phoros:stele1.year7.hc1:front.3.21","same","91","urn:cite:phoros:payrec.570"
"urn:cite:phoros:places.215","Chalkis","7","3000","urn:cts:phoros:stele1.year7.hc1:front.3.22","same","92","urn:cite:phoros:payrec.609"
"urn:cite:phoros:places.192","Paros","7","9720","urn:cts:phoros:stele1.year7.hc1:front.3.22","same","92","urn:cite:phoros:payrec.571"
"urn:cite:phoros:places.130","Daunion/Damnion","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.23","same","93","urn:cite:phoros:payrec.572"
"urn:cite:phoros:places.30","Neapolis","7","300","urn:cts:phoros:stele1.year7.hc1:front.3.23","up","93","urn:cite:phoros:payrec.610"
"urn:cite:phoros:places.37","Lamponeia","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.24","same","94","urn:cite:phoros:payrec.611"
"urn:cite:phoros:places.197","Naxos","7","4000","urn:cts:phoros:stele1.year7.hc1:front.3.24","same","94","urn:cite:phoros:payrec.573"
"urn:cite:phoros:places.116","Paisos","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.25","same","95","urn:cite:phoros:payrec.612"
"urn:cite:phoros:places.115","Kalchedon","7","5400","urn:cts:phoros:stele1.year7.hc1:front.3.25","up","95","urn:cite:phoros:payrec.574"
"urn:cite:phoros:places.123","Perkote","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.26","same","96","urn:cite:phoros:payrec.613"
"urn:cite:phoros:places.159","Selymbria","7","3600","urn:cts:phoros:stele1.year7.hc1:front.3.26","same","96","urn:cite:phoros:payrec.575"
"urn:cite:phoros:places.35","Assos","7","600","urn:cts:phoros:stele1.year7.hc1:front.3.27","same","97","urn:cite:phoros:payrec.614"
"urn:cite:phoros:places.198","Erythrai","7","5400","urn:cts:phoros:stele1.year7.hc1:front.3.27","up","97","urn:cite:phoros:payrec.576"
"urn:cite:phoros:places.83","Lepsimandos","7","150","urn:cts:phoros:stele1.year7.hc1:front.3.30","same","100","urn:cite:phoros:payrec.617"
"urn:cite:phoros:places.50","Kasolaba","7","250","urn:cts:phoros:stele1.year7.hc1:front.3.31","same","101","urn:cite:phoros:payrec.618"
"urn:cite:phoros:places.60","Singos","7","1200","urn:cts:phoros:stele1.year7.hc1:front.3.32","down","102","urn:cite:phoros:payrec.580"
"urn:cite:phoros:places.156","Phegetioi","7","160","urn:cts:phoros:stele1.year7.hc1:front.3.32","same","102","urn:cite:phoros:payrec.619"
"urn:cite:phoros:places.56","Sermylia","7","1800","urn:cts:phoros:stele1.year7.hc1:front.3.33","down","103","urn:cite:phoros:payrec.620"
"urn:cite:phoros:places.151","Parparos","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.33","same","103","urn:cite:phoros:payrec.581"
"urn:cite:phoros:places.54","Skabla","7","300","urn:cts:phoros:stele1.year7.hc1:front.3.34","same","104","urn:cite:phoros:payrec.621"
"urn:cite:phoros:places.131","Skepsis","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.34","same","104","urn:cite:phoros:payrec.582"
"urn:cite:phoros:places.188","Serme","7","50","urn:cts:phoros:stele1.year7.hc1:front.3.35","same","105","urn:cite:phoros:payrec.583"
"urn:cite:phoros:places.112","Mende","7","9000","urn:cts:phoros:stele1.year7.hc1:front.3.35","up","105","urn:cite:phoros:payrec.622"
"urn:cite:phoros:places.157","Ikos","7","150","urn:cts:phoros:stele1.year7.hc1:front.3.36","same","106","urn:cite:phoros:payrec.584"
"urn:cite:phoros:places.194","Kythnos","7","1800","urn:cts:phoros:stele1.year7.hc1:front.3.36","same","106","urn:cite:phoros:payrec.623"
"urn:cite:phoros:places.149","Karystos","7","3000","urn:cts:phoros:stele1.year7.hc1:front.3.37","down","107","urn:cite:phoros:payrec.624"
"urn:cite:phoros:places.193","Sigeion","7","76","urn:cts:phoros:stele1.year7.hc1:front.3.37","same","107","urn:cite:phoros:payrec.585"
"urn:cite:phoros:places.213","Harpagion","7","30","urn:cts:phoros:stele1.year7.hc1:front.3.38","same","108","urn:cite:phoros:payrec.586"
"urn:cite:phoros:places.166","Keos/Kea","7","2400","urn:cts:phoros:stele1.year7.hc1:front.3.38","same","108","urn:cite:phoros:payrec.625"
"urn:cite:phoros:places.22","Peparethos","7","1800","urn:cts:phoros:stele1.year7.hc1:front.3.39","same","109","urn:cite:phoros:payrec.587"
"urn:cite:phoros:places.146","Seriphos ","7","600","urn:cts:phoros:stele1.year7.hc1:front.3.40","down","110","urn:cite:phoros:payrec.588"
"urn:cite:phoros:places.95","Lampsakos","7","520","urn:cts:phoros:stele1.year7.hc1:front.3.2","down","111","urn:cite:phoros:payrec.589"
"urn:cite:phoros:places.207","Chedrolos","7","50","urn:cts:phoros:stele1.year7.hc1:front.3.2","same","111","urn:cite:phoros:payrec.551"
"urn:cite:phoros:places.148","Rheneia","7","30","urn:cts:phoros:stele1.year7.hc1:front.3.3","down","112","urn:cite:phoros:payrec.552"
"urn:cite:phoros:places.143","Aige","7","300","urn:cts:phoros:stele1.year7.hc1:front.3.3","same","112","urn:cite:phoros:payrec.590"
"urn:cite:phoros:places.127","Priapos","7","50","urn:cts:phoros:stele1.year7.hc1:front.3.4","same","113","urn:cite:phoros:payrec.553"
"urn:cite:phoros:places.190","Tenos","7","1800","urn:cts:phoros:stele1.year7.hc1:front.3.4","same","113","urn:cite:phoros:payrec.591"
"urn:cite:phoros:places.196","Hestiaia","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.5","same","114","urn:cite:phoros:payrec.554"
"urn:cite:phoros:places.152","Teos","7","3600","urn:cts:phoros:stele1.year7.hc1:front.3.5","same","114","urn:cite:phoros:payrec.592"
"urn:cite:phoros:places.145","Andros","7","3600","urn:cts:phoros:stele1.year7.hc1:front.3.6","down","115","urn:cite:phoros:payrec.593"
"urn:cite:phoros:places.153","Palaiperkote","7","50","urn:cts:phoros:stele1.year7.hc1:front.3.6","down","115","urn:cite:phoros:payrec.555"
"urn:cite:phoros:places.208","Galepsos","7","900","urn:cts:phoros:stele1.year7.hc1:front.3.7","same","116","urn:cite:phoros:payrec.556"
"urn:cite:phoros:places.114","Mykonos","7","900","urn:cts:phoros:stele1.year7.hc1:front.3.7","same","116","urn:cite:phoros:payrec.594"
"urn:cite:phoros:places.61","Thasos","7","1470","urn:cts:phoros:stele1.year7.hc1:front.3.8","down","117","urn:cite:phoros:payrec.595"
"urn:cite:phoros:places.138","Phokaia","7","1800","urn:cts:phoros:stele1.year7.hc1:front.3.8","same","117","urn:cite:phoros:payrec.557"
"urn:cite:phoros:places.160","Kos","7","2136","urn:cts:phoros:stele1.year7.hc1:front.3.9","same","118","urn:cite:phoros:payrec.558"
"urn:cite:phoros:places.103","Bargylia","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.10","same","119","urn:cite:phoros:payrec.559"
"urn:cite:phoros:places.214","Eretria","7","3600","urn:cts:phoros:stele1.year7.hc1:front.3.10","same","119","urn:cite:phoros:payrec.597"
"urn:cite:phoros:places.150","Grynche","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.11","same","120","urn:cite:phoros:payrec.598"
"urn:cite:phoros:places.93","Samothraki","7","3600","urn:cts:phoros:stele1.year7.hc1:front.3.11","same","120","urn:cite:phoros:payrec.560"
"urn:cite:phoros:places.55","Asseritis","7","2400","urn:cts:phoros:stele1.year7.hc1:front.3.12","same","121","urn:cite:phoros:payrec.561"
"urn:cite:phoros:places.191","Siphnos","7","1800","urn:cts:phoros:stele1.year7.hc1:front.3.12","same","121","urn:cite:phoros:payrec.599"
"urn:cite:phoros:places.42","Diduma Teichos","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.13","same","122","urn:cite:phoros:payrec.600"
"urn:cite:phoros:places.51","Dikaia by Abdera","7","300","urn:cts:phoros:stele1.year7.hc1:front.3.13","same","122","urn:cite:phoros:payrec.562"
"urn:cite:phoros:places.16","Dion","7","200","urn:cts:phoros:stele1.year7.hc1:front.3.14","down","123","urn:cite:phoros:payrec.563"
"urn:cite:phoros:places.77","Ios","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.14","down","123","urn:cite:phoros:payrec.601"
"urn:cite:phoros:places.13","Torone","7","4744","urn:cts:phoros:stele1.year7.hc1:front.3.15","down","124","urn:cite:phoros:payrec.602"
"urn:cite:phoros:places.209","Eurumaxos","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.15","same","124","urn:cite:phoros:payrec.564"
"urn:cite:phoros:places.158","Dardanos","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.16","down","125","urn:cite:phoros:payrec.603"
"urn:cite:phoros:places.210","Brykous","7","50","urn:cts:phoros:stele1.year7.hc1:front.3.16","same","125","urn:cite:phoros:payrec.565"
"urn:cite:phoros:places.72","Kios","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.17","same","126","urn:cite:phoros:payrec.566"
"urn:cite:phoros:places.101","Priene","7","600","urn:cts:phoros:stele1.year7.hc1:front.3.17","same","126","urn:cite:phoros:payrec.604"
"urn:cite:phoros:places.180","Arkaseia","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.18","same","127","urn:cite:phoros:payrec.567"
"urn:cite:phoros:places.195","Styra","7","600","urn:cts:phoros:stele1.year7.hc1:front.3.18","same","127","urn:cite:phoros:payrec.605"
"urn:cite:phoros:places.121","Athenai Diades","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.19","down","128","urn:cite:phoros:payrec.606"
"urn:cite:phoros:places.161","Humisses","7","120","urn:cts:phoros:stele1.year7.hc1:front.3.19","same","128","urn:cite:phoros:payrec.568"
"urn:cite:phoros:places.75","Berytis below Mt. Ida","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.20","same","129","urn:cite:phoros:payrec.607"
"urn:cite:phoros:places.211","Udissos","7","600","urn:cts:phoros:stele1.year7.hc1:front.3.20","same","129","urn:cite:phoros:payrec.569"
"urn:cite:phoros:places.27","Hairai","7","1800","urn:cts:phoros:stele1.year7.hc1:front.3.21","same","130","urn:cite:phoros:payrec.570"
"urn:cite:phoros:places.215","Chalkis","7","3000","urn:cts:phoros:stele1.year7.hc1:front.3.22","same","131","urn:cite:phoros:payrec.609"
"urn:cite:phoros:places.192","Paros","7","9720","urn:cts:phoros:stele1.year7.hc1:front.3.22","same","131","urn:cite:phoros:payrec.571"
"urn:cite:phoros:places.130","Daunion/Damnion","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.23","same","132","urn:cite:phoros:payrec.572"
"urn:cite:phoros:places.30","Neapolis","7","300","urn:cts:phoros:stele1.year7.hc1:front.3.23","up","132","urn:cite:phoros:payrec.610"
"urn:cite:phoros:places.37","Lamponeia","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.24","same","133","urn:cite:phoros:payrec.611"
"urn:cite:phoros:places.197","Naxos","7","4000","urn:cts:phoros:stele1.year7.hc1:front.3.24","same","133","urn:cite:phoros:payrec.573"
"urn:cite:phoros:places.116","Paisos","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.25","same","134","urn:cite:phoros:payrec.612"
"urn:cite:phoros:places.115","Kalchedon","7","5400","urn:cts:phoros:stele1.year7.hc1:front.3.25","up","134","urn:cite:phoros:payrec.574"
"urn:cite:phoros:places.123","Perkote","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.26","same","135","urn:cite:phoros:payrec.613"
"urn:cite:phoros:places.159","Selymbria","7","3600","urn:cts:phoros:stele1.year7.hc1:front.3.26","same","135","urn:cite:phoros:payrec.575"
"urn:cite:phoros:places.35","Assos","7","600","urn:cts:phoros:stele1.year7.hc1:front.3.27","same","136","urn:cite:phoros:payrec.614"
"urn:cite:phoros:places.198","Erythrai","7","5400","urn:cts:phoros:stele1.year7.hc1:front.3.27","up","136","urn:cite:phoros:payrec.576"
"urn:cite:phoros:places.83","Lepsimandos","7","150","urn:cts:phoros:stele1.year7.hc1:front.3.30","same","139","urn:cite:phoros:payrec.617"
"urn:cite:phoros:places.50","Kasolaba","7","250","urn:cts:phoros:stele1.year7.hc1:front.3.31","same","140","urn:cite:phoros:payrec.618"
"urn:cite:phoros:places.60","Singos","7","1200","urn:cts:phoros:stele1.year7.hc1:front.3.32","down","141","urn:cite:phoros:payrec.580"
"urn:cite:phoros:places.156","Phegetioi","7","160","urn:cts:phoros:stele1.year7.hc1:front.3.32","same","141","urn:cite:phoros:payrec.619"
"urn:cite:phoros:places.56","Sermylia","7","1800","urn:cts:phoros:stele1.year7.hc1:front.3.33","down","142","urn:cite:phoros:payrec.620"
"urn:cite:phoros:places.151","Parparos","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.33","same","142","urn:cite:phoros:payrec.581"
"urn:cite:phoros:places.54","Skabla","7","300","urn:cts:phoros:stele1.year7.hc1:front.3.34","same","143","urn:cite:phoros:payrec.621"
"urn:cite:phoros:places.131","Skepsis","7","100","urn:cts:phoros:stele1.year7.hc1:front.3.34","same","143","urn:cite:phoros:payrec.582"
"urn:cite:phoros:places.188","Serme","7","50","urn:cts:phoros:stele1.year7.hc1:front.3.35","same","144","urn:cite:phoros:payrec.583"
"urn:cite:phoros:places.112","Mende","7","9000","urn:cts:phoros:stele1.year7.hc1:front.3.35","up","144","urn:cite:phoros:payrec.622"
"urn:cite:phoros:places.157","Ikos","7","150","urn:cts:phoros:stele1.year7.hc1:front.3.36","same","145","urn:cite:phoros:payrec.584"
"urn:cite:phoros:places.194","Kythnos","7","1800","urn:cts:phoros:stele1.year7.hc1:front.3.36","same","145","urn:cite:phoros:payrec.623"
"urn:cite:phoros:places.149","Karystos","7","3000","urn:cts:phoros:stele1.year7.hc1:front.3.37","down","146","urn:cite:phoros:payrec.624"
"urn:cite:phoros:places.193","Sigeion","7","76","urn:cts:phoros:stele1.year7.hc1:front.3.37","same","146","urn:cite:phoros:payrec.585"
"urn:cite:phoros:places.213","Harpagion","7","30","urn:cts:phoros:stele1.year7.hc1:front.3.38","same","147","urn:cite:phoros:payrec.586"
"urn:cite:phoros:places.166","Keos/Kea","7","2400","urn:cts:phoros:stele1.year7.hc1:front.3.38","same","147","urn:cite:phoros:payrec.625"
"urn:cite:phoros:places.22","Peparethos","7","1800","urn:cts:phoros:stele1.year7.hc1:front.3.39","same","148","urn:cite:phoros:payrec.587"
"urn:cite:phoros:places.107","Tenedos","8","1728","urn:cts:phoros:stele1.year8.hc1:right.1.4","same","4","urn:cite:phoros:payrec.627"
"urn:cite:phoros:places.1","Stageira","8","100","urn:cts:phoros:stele1.year8.hc1:right.1.5","same","5","urn:cite:phoros:payrec.628"
"urn:cite:phoros:places.186","Gentinos","8","50","urn:cts:phoros:stele1.year8.hc1:right.1.6","same","6","urn:cite:phoros:payrec.629"
"urn:cite:phoros:places.65","Keramos","8","900","urn:cts:phoros:stele1.year8.hc1:right.1.7","same","7","urn:cite:phoros:payrec.630"
"urn:cite:phoros:places.20","Kameiros","8","5400","urn:cts:phoros:stele1.year8.hc1:right.1.8","up","8","urn:cite:phoros:payrec.631"
"urn:cite:phoros:places.38","Halikarnassos","8","1200","urn:cts:phoros:stele1.year8.hc1:right.1.9","same","9","urn:cite:phoros:payrec.632"
"urn:cite:phoros:places.120","Myrina","8","600","urn:cts:phoros:stele1.year8.hc1:right.1.10","same","10","urn:cite:phoros:payrec.633"
"urn:cite:phoros:places.57","Mekyberna","8","600","urn:cts:phoros:stele1.year8.hc1:right.1.11","same","11","urn:cite:phoros:payrec.634"
"urn:cite:phoros:places.202","Pladasa","8","200","urn:cts:phoros:stele1.year8.hc1:right.1.12","same","12","urn:cite:phoros:payrec.635"
